location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,total_tests,tests_per_case
Belgium,05/03/2020,50,27,7,0,0,0,0,773,2411,0
Belgium,06/03/2020,109,59,15.429,0,0,0,0,1119,3530,0
Belgium,07/03/2020,169,60,24,0,0,0,0,475,4005,16.1
Belgium,08/03/2020,200,31,28.286,0,0,0,0,483,4488,14.7
Belgium,09/03/2020,239,39,33,0,0,0,0,610,5098,14.5
Belgium,10/03/2020,267,28,36.286,0,0,0,0,804,5902,13.7
Belgium,11/03/2020,314,47,41.571,3,3,0,0,1108,7010,12.7
Belgium,12/03/2020,314,0,37.714,3,0,0,0,1438,8448,11.9
Belgium,13/03/2020,559,245,64.286,3,0,0,0,2524,10972,11.1
Belgium,14/03/2020,689,130,74.286,4,1,0,0,2171,13143,11.2
Belgium,15/03/2020,886,197,98,4,0,54,266,1269,14412,10.5
Belgium,16/03/2020,1058,172,117,5,1,79,370,1892,16304,9.6
Belgium,17/03/2020,1243,185,139.429,10,5,100,497,2255,18559,8.2
Belgium,18/03/2020,1486,243,167.429,14,4,131,650,2714,21273,7.4
Belgium,19/03/2020,1795,309,211.571,21,7,165,844,3395,24668,6.5
Belgium,20/03/2020,2257,462,242.571,37,16,228,1101,3120,27788,5.5
Belgium,21/03/2020,2815,558,303.714,67,30,290,1384,2276,30064,4.8
Belgium,22/03/2020,3401,586,359.286,75,8,322,1646,1414,31478,4.5
Belgium,23/03/2020,3743,342,383.571,88,13,385,1883,3322,34800,4
Belgium,24/03/2020,4269,526,432.286,122,34,474,2140,3975,38775,3.6
Belgium,25/03/2020,4937,668,493,178,56,612,2721,4282,43057,3.4
Belgium,26/03/2020,6235,1298,634.286,220,42,690,3077,4363,47420,3.2
Belgium,27/03/2020,7284,1049,718.143,289,69,789,3650,4930,52350,3.1
Belgium,28/03/2020,9134,1850,902.714,353,64,867,4089,3850,56200,3.1
Belgium,29/03/2020,10836,1702,1062.143,431,78,942,4480,2419,58619,3.1
Belgium,30/03/2020,11899,1063,1165.143,513,82,1021,4897,4101,62720,3.1
Belgium,31/03/2020,12775,876,1215.143,705,192,1088,4989,6432,69152,3.1
Belgium,01/04/2020,13964,1189,1289.571,828,123,1144,5220,5891,75043,3.2
Belgium,02/04/2020,15348,1384,1301.857,1011,183,1205,5383,6088,81131,3.3
Belgium,03/04/2020,16770,1422,1355.143,1143,132,1245,5513,6718,87849,3.4
Belgium,04/04/2020,18431,1661,1328.143,1283,140,1261,5531,5368,93217,3.4
Belgium,05/04/2020,19691,1260,1265,1447,164,1267,5620,3828,97045,3.5
Belgium,06/04/2020,20814,1123,1273.571,1632,185,1260,5759,5840,102885,3.7
Belgium,07/04/2020,22194,1380,1345.571,2035,403,1276,5715,7509,110394,3.7
Belgium,08/04/2020,23403,1209,1348.429,2240,205,1285,5616,7972,118366,3.9
Belgium,09/04/2020,24983,1580,1376.429,2523,283,1278,5636,8224,126590,4
Belgium,10/04/2020,26667,1684,1413.857,3019,496,1262,5659,8537,135127,4.2
Belgium,11/04/2020,28018,1351,1369.571,3346,327,1232,5437,8148,143275,4.4
Belgium,12/04/2020,29647,1629,1422.286,3600,254,1234,5441,7287,150562,4.6
Belgium,13/04/2020,30589,942,1396.429,3903,303,1226,5554,6698,157260,4.8
Belgium,14/04/2020,31119,530,1275,4157,254,1204,5532,8163,165423,5
Belgium,15/04/2020,33573,2454,1452.857,4440,283,1182,5331,10984,176407,5.2
